OID_	year_of_aff	BA	Grids	agb	Afforest	Deforest	2020pnf	Disturb
4844764	1.989	0.504868439	730	29.1	1993	0	-9999	0
4844765	1.989	0.582970468	730	25.1	1992	0	-9999	0
4844766	1.989	0.57855881	730	11.3	2013	0	-9999	0
4844768	1.99	0.608816605	730	90.7	1993	0	2	0
4844770	1.99	0.656003591	730	55.3	1993	0	-9999	0
4844772	1.994	0.586913079	730	23.6	1997	0	2	0
4844776	1.994	0.608729248	730	44.3	1993	0	33	0
4844777	1.994	0.517325701	730	148.6	1997	0	2	0
4844783	1.994	0.649732298	730	7.1	1997	0	33	0
4844784	1.997	0.682107013	730	59.8	2000	0	2	0
4844785	1.997	0.703209386	730	76.9	2000	0	2	0
4844786	1.997	0.556048865	730	42.1	2000	0	33	0
4844787	1.9979999	0.514494829	730	46.3	2001	0	2	0
4844789	1.9979999	0.573470719	730	14.3	2001	0	2	0
4844793	1.9979999	0.52087614	730	35.3	2001	0	2	0
4844795	1.9979999	0.868267195	730	19.1	2001	0	2	0
4844796	1.9979999	0.634047635	730	14.2	2001	0	2	0
4844797	1.9979999	0.555586944	730	13.5	2001	0	2	0
4844798	1.9979999	0.540079454	730	17.7	1997	0	2	0
4844801	1.9979999	0.606738414	730	4.9	2001	0	-9999	0
4844802	1.9979999	0.597339637	730	32.2	2001	0	-9999	0
4844806	1.9979999	0.555759864	730	23.2	2001	0	2	0
4844808	1.9979999	0.501375669	730	4.6	2001	0	-9999	0
4844811	1.9979999	0.552150024	730	3.4	2008	0	-9999	0
4844812	1.9979999	0.651800826	730	1.6	2001	0	-9999	0
4844814	1.9979999	0.797968548	730	2.6	2001	0	-9999	0
4844818	1.9979999	0.748317984	730	2.5	2001	0	-9999	0
4844820	1.9979999	0.500519065	730	0.2	2001	0	-9999	0
4844821	1.9990001	0.608549913	730	9.2	2002	0	2	0
4844824	1.9990001	0.565511329	730	7.4	2002	0	2	0
4844831	1.9990001	0.568266966	730	39.8	2002	0	2	0
4844832	1.9990001	0.574013464	730	37	2002	0	2	0
4844833	1.9990001	0.753277551	730	31.4	2002	0	2	0
4844834	1.9990001	0.544972556	730	16.7	1997	0	33	0
4844835	1.9990001	0.678708149	730	71	2002	0	33	0
4844839	1.9990001	0.555522014	730	53	2008	0	2	0
4844840	1.9990001	0.839337418	730	83.5	2002	0	2	0
4844841	2	0.525095455	730	57.7	2008	0	2	0
4844842	2	0.525440786	730	53.8	2003	0	2	0
4844844	2	0.75357082	730	15.3	2003	0	-9999	0
4844851	2	0.566538447	730	57	2003	0	2	0
4844852	2	0.56230082	730	60.6	2003	0	2	0
4844854	2	0.515154462	730	16.7	2003	0	2	0
4844857	2.0009999	0.684644038	730	22.6	2004	0	2	0
4844858	2.0009999	0.510008268	730	25.1	2002	0	2	0
4844859	2.0009999	0.53861491	730	9.7	2019	0	2	0
4844861	2.0009999	0.646370973	730	24.7	2004	0	-9999	0
4844863	2.0009999	0.754337987	730	41.1	2013	0	2	0
4844865	2.0009999	0.502648376	730	93.1	2004	0	2	0
4844866	2.0009999	0.532741843	730	80.3	2004	0	2	0
4844867	2.0009999	0.546259052	730	80.1	2004	0	2	0
4844869	2.0009999	0.503613102	730	26.4	2004	0	-9999	0
4844870	2.0009999	0.556597454	730	26.7	2004	0	2	0
4844871	2.0009999	0.71080932	730	17.1	2004	0	2	0
4844872	2.0009999	0.556930682	730	58.5	2004	0	33	0
4844873	2.0020001	0.554422085	730	42.6	2002	0	33	0
4844874	2.0020001	0.512094612	730	61.7	2005	0	33	0
4844875	2.0020001	0.501530731	730	36.7	2005	0	-9999	0
4844876	2.0020001	0.566233753	730	39.7	2005	0	-9999	0
4844877	2.0020001	0.85414685	730	17.7	2005	0	-9999	0
4844882	2.0049999	0.503438794	730	6.2	2008	0	2	0
4844883	2.0049999	0.65604482	730	37.1	2008	0	2	0
4844884	2.0049999	0.83802994	730	8.2	2008	0	2	0
4844885	2.0049999	0.512317746	730	58.9	2003	0	2	0
4844886	2.0049999	0.987864153	730	5.9	2008	0	2	0
4844887	2.0049999	0.741973583	730	5.4	2001	0	2	0
4844888	2.0049999	0.588111915	730	18.4	2008	0	2	0
4844890	2.0049999	0.536912989	730	46.1	2008	0	33	0
4844892	2.0049999	0.61853395	730	5.8	2008	0	33	0
4844893	2.0049999	0.887314001	730	50.4	2008	0	33	0
4844895	2.0060001	0.520375171	730	12.7	2016	0	2	0
4844896	2.007	0.683714784	730	8.2	2009	0	-9999	0
4844897	2.0090001	0.742013437	730	20.1	2012	0	2	0
4844898	2.01	0.50141038	730	19.4	2009	0	2	0
4844899	2.01	0.542201916	730	24.8	2013	0	2	0
4844900	2.01	0.681375456	730	31.4	2013	0	2	0
4844901	2.01	0.838160589	730	27.7	2013	0	2	0
4844902	2.01	0.578860562	730	34.8	2011	0	2	0
4844904	2.01	0.825105168	730	3.3	2013	0	-9999	0
4844905	2.01	0.748486844	730	62.5	2013	0	-9999	0
4844906	2.01	0.841424067	730	61.4	2013	0	-9999	0
4844907	2.01	0.585638663	730	30	2013	0	-9999	0
4844908	2.01	0.509277425	730	35.5	2013	0	2	0
4844909	2.01	0.561771978	730	11.1	2013	0	-9999	0
4844910	2.014	0.679059245	730	5.5	2017	0	2	0
4844911	2.0160001	0.754135684	730	11.6	2019	0	2	0
4844912	2.0160001	0.552318499	730	5.8	2019	0	-9999	0
4848491	1.987	0.508005733	730	5.9	1990	0	2	0
4848493	1.987	0.577508409	730	24.4	1990	0	33	0
4848494	1.987	0.51593652	730	3	1990	0	-9999	0
4848496	1.987	0.5945626	730	13.1	1990	0	2	0
4848497	1.987	0.507921028	730	17	1990	0	2	0
4848498	1.987	0.536146652	730	5.7	1990	0	-9999	0
4848499	1.987	0.608603993	730	27.4	1990	0	2	0
4848500	1.9880001	0.542363267	730	41.9	1991	0	-9999	0
4848501	1.9880001	0.541663366	730	11.7	1991	0	-9999	0
4848503	1.989	0.557540184	730	4.8	1992	0	-9999	0
4848504	1.989	0.658886948	730	52.4	1992	0	33	0
4848505	1.989	0.706199152	730	109.8	1992	0	-9999	0
4848506	1.989	0.734795851	730	71.7	1992	0	-9999	0
4848507	1.989	0.620184993	730	58.6	1992	0	2	0
4848508	1.989	0.538451784	730	83.1	1992	0	-9999	0
4848509	1.989	0.577524754	730	116.5	1991	0	-9999	0
4848510	1.989	0.67822415	730	6.2	1992	0	33	0
4848511	1.989	0.703968218	730	105.9	1992	0	33	0
4848512	1.989	0.588194301	730	49.6	1992	0	33	0
4848513	1.989	0.516168172	730	126.6	1992	0	2	0
4848516	1.989	0.702335121	730	15.6	1992	0	2	0
4848518	1.989	0.566934257	730	0.1	1992	0	2	0
4848520	1.989	0.815437476	730	46.3	1992	0	2	0
4848523	1.989	0.554086271	730	39.3	1992	0	2	0
4848525	1.989	0.569418531	730	23.8	1992	0	33	0
4848526	1.989	0.594743794	730	23.2	1993	0	33	0
4848527	1.989	0.818379279	730	13.6	1992	0	-9999	0
4848529	1.989	0.505844787	730	109.8	1992	0	33	0
4848530	1.989	0.530567735	730	22.3	1993	0	33	0
4848531	1.989	0.56572547	730	34.7	2001	0	2	0
4848532	1.989	0.560697383	730	17.8	1990	0	2	0
4848533	1.989	0.785027753	730	98.9	1992	0	2	0
4848534	1.989	0.504302485	730	68.7	1992	0	33	0
4848535	1.989	0.505763983	730	16.5	2013	0	-9999	0
4848536	1.989	0.626202586	730	53.8	1992	0	33	0
4848537	1.989	0.68172722	730	98.6	1992	0	33	0
4848538	1.989	0.500519065	730	33.5	1992	0	2	0
4848541	1.989	0.509683573	730	6.9	1992	0	2	0
4848543	1.989	0.576950828	730	65	1991	0	2	0
4848546	1.989	0.632299055	730	14.2	1992	0	2	0
4848548	1.989	0.647074409	730	18.6	1992	0	33	0
4848549	1.989	0.872280301	730	86.2	1992	0	33	0
4848550	1.989	0.679856711	730	20.9	1992	0	33	0
4848551	1.989	0.694318125	730	57.6	1992	0	33	0
4848552	1.989	0.530747048	730	29	1992	0	-9999	0
4848555	1.99	0.597413085	730	10.9	1993	0	33	0
4848556	1.99	0.552492921	730	30.4	1993	0	33	0
4848557	1.99	0.531966645	730	43.7	1993	0	2	0
4848560	1.99	0.721323326	730	19.8	1993	0	2	0
4848564	1.994	0.545346791	730	80.2	1997	0	33	0
4848565	1.994	0.678525953	730	82.3	1997	0	33	0
4848566	1.994	0.573567877	730	39.8	1997	0	33	0
4848569	1.994	0.52885833	730	68.6	1997	0	2	0
4848570	1.994	0.699625867	730	3.4	1997	0	2	0
4848571	1.994	0.556597454	730	1.6	1997	0	2	0
4848572	1.994	0.650390351	730	3.9	1997	0	2	0
4848573	1.994	0.53128695	730	3.5	2012	0	2	0
4848574	1.994	0.511105757	730	25.1	2003	0	2	0
4848575	1.994	0.526184145	730	73.7	1997	0	-9999	0
4848576	1.994	0.502650065	730	65.6	1993	0	-9999	0
4848577	1.994	0.678232385	730	26.7	1997	0	-9999	0
4848578	1.994	0.559093873	730	38.8	1997	0	2	0
4848579	1.994	0.599434599	730	5	1997	0	2	0
4848580	1.994	0.500996106	730	26.7	1997	0	-9999	0
4848581	1.994	0.716268663	730	102.6	1997	0	2	0
4848582	1.994	0.634265513	730	18.9	1997	0	33	0
4848583	1.994	0.634556269	730	1.2	1997	0	2	0
4848584	1.994	0.532505826	730	10	1997	0	2	0
4848585	1.994	0.601730106	730	15	1993	0	2	0
4848587	1.994	0.670367882	730	16.2	2019	0	2	0
4848589	1.994	0.503046457	730	27	1997	0	-9999	0
4848590	1.994	0.518950917	730	43.4	1997	0	-9999	0
4848591	1.994	0.519749244	730	29.3	1997	0	2	0
4848592	1.994	0.753613847	730	29	1997	0	-9999	0
4848593	1.994	0.508638228	730	10.1	1997	0	-9999	0
4848594	1.994	0.551540261	730	34.1	1997	0	2	0
4848595	1.994	0.675385418	730	96.1	1997	0	2	0
4848596	1.994	0.62212378	730	9.7	1997	0	2	0
4848597	1.994	0.571798426	730	36.6	1997	0	33	0
4848598	1.994	0.542363267	730	29.8	1997	0	-9999	0
4848599	1.994	0.601678188	730	6.9	1997	0	33	0
4848601	1.994	0.532385238	730	38.1	1997	0	33	0
4848602	1.994	0.619015679	730	27.4	1997	0	2	0
4848603	1.994	0.564299053	730	65.4	1997	0	2	0
4848604	1.994	0.529230409	730	30.1	1997	0	2	0
4848605	1.994	0.758893348	730	20	1997	0	2	0
4848606	1.994	0.508157037	730	46.4	1997	0	2	0
4848608	1.996	0.508112852	730	20	1999	0	2	0
4848609	1.997	0.81725041	730	73.9	2000	0	33	0
4848610	1.997	0.665381532	730	46.4	2001	0	33	0
4848611	1.997	0.502207709	730	18.5	2000	0	33	0
4848612	1.997	0.553812718	730	5.3	2000	0	-9999	0
4848613	1.997	0.539840933	730	10.7	2003	0	2	0
4848614	1.997	0.73466775	730	16.5	2000	0	33	0
4848615	1.997	0.581867695	730	47.8	2000	0	33	0
4848616	1.997	0.616200719	730	55	2000	0	33	0
4848617	1.9979999	0.509144463	730	49.2	2001	0	-9999	0
4848618	1.9979999	0.679995818	730	30.6	2001	0	-9999	0
4848619	1.9979999	0.625134435	730	16.7	2001	0	-9999	0
4848620	1.9979999	0.597912563	730	15.4	2001	0	33	0
4848621	1.9979999	0.615121922	730	51.7	2003	0	2	0
4848622	1.9979999	0.560262766	730	10	2006	0	2	0
4848623	1.9979999	0.519931721	730	22.4	2001	0	-9999	0
4848625	1.9979999	0.527922733	730	7.1	2001	0	2	0
4848627	1.9979999	0.532275235	730	12	2001	0	-9999	0
4848631	1.9979999	0.542942273	730	10.2	2001	0	-9999	0
4848633	1.9979999	0.503119672	730	5.6	2001	0	-9999	0
4848634	1.9979999	0.646708855	730	69.1	2001	0	2	0
4848637	1.9979999	0.538054159	730	31.7	2001	0	-9999	0
4848638	1.9979999	0.74875709	730	28.9	2001	0	2	0
4848640	1.9979999	0.519338181	730	7.5	2001	0	-9999	0
4848641	1.9979999	0.683132265	730	59.9	2001	0	2	0
4848644	1.9979999	0.73349308	730	10.2	2001	0	-9999	0
4848646	1.9979999	0.75887618	730	12.6	2001	0	2	0
4848647	1.9979999	0.604274832	730	53.2	2001	0	2	0
4848648	1.9979999	0.682299508	730	56.9	2002	0	2	0
4848649	1.9979999	0.745139715	730	51.6	2001	0	-9999	0
4848653	1.9979999	0.591555563	730	55.7	2001	0	-9999	0
4848655	1.9979999	0.662923851	730	2.8	2002	0	-9999	0
4848659	1.9979999	0.596658631	730	44	1992	0	2	0
4848660	1.9979999	0.552375159	730	16.7	2001	0	-9999	0
4848661	1.9979999	0.511247859	730	26.5	2001	0	2	0
4848662	1.9979999	0.537955453	730	72.7	2001	0	2	0
4848663	1.9979999	0.637958584	730	7.4	2001	0	-9999	0
4848664	1.9979999	0.59788808	730	56.1	2001	0	33	0
4848665	1.9990001	0.526663491	730	47.3	2002	0	2	0
4848666	1.9990001	0.656170193	730	8.9	2002	0	-9999	0
4848667	1.9990001	0.523105964	730	12.4	2002	0	-9999	0
4848668	1.9990001	0.857439942	730	45.4	2002	0	-9999	0
4848669	1.9990001	0.653017803	730	36.2	2002	0	-9999	0
4848670	1.9990001	0.515499235	730	10.8	2002	0	-9999	0
4848671	1.9990001	0.514815953	730	18.3	1992	0	-9999	0
4848673	1.9990001	0.633605936	730	49.4	2001	0	2	0
4848674	1.9990001	0.566158673	730	64.3	2002	0	2	0
4848675	1.9990001	0.645938671	730	3	2002	0	-9999	0
4848677	1.9990001	0.753486023	730	12.1	2002	0	-9999	0
4848679	1.9990001	0.856066483	730	12.5	2002	0	2	0
4848680	1.9990001	0.699352213	730	24.7	2002	0	2	0
4848682	1.9990001	0.712093811	730	48	1990	0	2	0
4848684	1.9990001	0.839221623	730	6.9	2002	0	-9999	0
4848685	1.9990001	0.843287051	730	5.9	2002	0	-9999	0
4848688	1.9990001	0.556597454	730	62.4	2002	0	2	0
4848689	1.9990001	0.618529335	730	45.2	2002	0	2	0
4848693	1.9990001	0.535499623	730	10	2002	0	2	0
4848694	1.9990001	0.822636535	730	30	2002	0	-9999	0
4848695	1.9990001	0.670977401	730	20	2002	0	-9999	0
4848698	1.9990001	0.560884928	730	63.7	2002	0	2	0
4848699	1.9990001	0.614590504	730	33	2002	0	2	0
4848701	1.9990001	0.609415996	730	9.7	2002	0	2	0
4848702	1.9990001	0.576404484	730	15.7	2002	0	2	0
4848704	1.9990001	0.627486252	730	25	2004	0	2	0
4848705	1.9990001	0.662371735	730	26	2005	0	2	0
4848708	1.9990001	0.530540433	730	34.8	2002	0	2	0
4848709	1.9990001	0.731220582	730	42	2001	0	2	0
4848712	1.9990001	0.567489086	730	4	1994	0	2	0
4848713	1.9990001	0.671075565	730	7.7	2002	0	2	0
4848714	1.9990001	0.515174367	730	3.3	2003	0	2	0
4848715	1.9990001	0.617505305	730	11.2	2002	0	2	0
4848716	1.9990001	0.649158305	730	26	2002	0	2	0
4848717	1.9990001	0.782696295	730	23.7	2002	0	2	0
4848718	1.9990001	0.637473894	730	28.3	2002	0	2	0
4848719	1.9990001	0.50522017	730	11.2	2002	0	2	0
4848721	1.9990001	0.858793907	730	36.2	2002	0	2	0
4848722	1.9990001	0.746554367	730	26	2002	0	2	0
4848723	1.9990001	0.569775203	730	16.6	2002	0	2	0
4848724	1.9990001	0.589664188	730	6.1	1997	0	2	0
4848725	1.9990001	0.653080134	730	5.7	2002	0	2	0
4848726	1.9990001	0.58756714	730	16.4	2002	0	-9999	0
4848727	1.9990001	0.516348904	730	14.5	2002	0	2	0
4848728	1.9990001	0.595977166	730	53.5	2003	0	2	0
4848729	1.9990001	0.502492312	730	20.2	2002	0	2	0
4848730	1.9990001	0.701510405	730	23	2002	0	2	0
4848731	1.9990001	0.652174024	730	27.9	2002	0	2	0
4848732	1.9990001	0.625358726	730	17.7	2002	0	33	0
4848733	1.9990001	0.592171291	730	41.3	2003	0	2	0
