ID,meanAGB,100Y,AGBeq,c,t
28,32.60330755,17.52633993,17.53683882,0.87887048,13.71419893
29,36.34646676,24.81543262,24.83466629,0.923683874,14.11635878
34,18.07358235,18.0728747,18.07410102,0.999999999,10.41860465
35,21.98038781,21.97863028,21.98087163,0.999999999,10.88038858
36,27.85657994,27.57031397,27.8523511,1,21.77399757
37,37.5902039,37.21189802,37.59042615,1,21.74757281
39,72.71236452,24.59758119,25.41708706,0.78479356,31.28317502
40,18.044821,18.04643393,18.04711167,0.999999999,9.813800657
41,20.39265355,20.34335048,20.39311627,1,16.62337662
42,30.11850915,30.07149136,30.12235225,1,15.66433566
47,19.69271103,19.69158362,19.69205684,1,9.401888773
48,22.51318885,22.46929395,22.50903506,1.000000005,15.77464777
49,27.67646641,27.52513033,27.67597739,1,19.1862955
50,23.00055385,22.45830358,23.00229285,1.000000002,26.70640819
51,18.04649874,17.87907076,18.04714462,1,21.38424821
56,21.03795727,21.03636885,21.03723369,0.999999999,9.901707194
57,20.59564989,20.59233912,20.59314681,1,9.855818744
58,21.67650946,21.30111599,21.67403842,1,24.61538462
64,52.91940178,52.14455332,52.16292743,0.985815658,12.59937545
75,65.07657134,56.83098165,56.88072197,0.938274435,14.33031873
79,24.93070488,24.46057077,24.46501146,1.112343029,11.46703479
84,113.7519618,52.97004633,71.87577248,0.509577175,125.4475849
85,83.80880148,79.07904568,79.12860275,5.034506724,11.12128183
88,22.93902084,22.90916982,22.91014407,0.999934198,9.935067793
91,116.5838137,80.69071465,85.42621111,1.221871762,32.38533618
94,29.16985702,28.37595267,28.38842527,0.97075034,12.98613045
95,28.82713733,28.13819821,28.14842451,0.974754622,12.66669467
99,114.5543811,92.54133271,92.54150519,16.53017705,6.250761888
101,28.81272625,28.74648849,28.74702272,0.992802376,9.1861197
104,23.155707,23.1082306,23.16005084,1,16.3869863
108,40.72452679,40.71994492,40.73138059,1,12.22790358
109,40.78924001,40.77615259,40.78760405,1,12.22790358
110,32.58089909,32.58285194,32.5857774,1,10.73170732
111,19.84954619,19.84427876,19.84428977,1.000000001,6.942148761
113,28.96866161,28.9009958,28.97221291,1,16.64347826
118,35.66850225,35.67186905,35.67187557,1,6.4453125
119,32.6779221,32.67760833,32.67947056,1,10.23255814
127,67.9257124,67.89071263,67.90776522,0.999559509,12.06394412
128,70.70053964,70.69503226,70.70445616,1.000049713,11.20691147
129,64.56249037,64.56369543,64.57116031,1.006185323,11.02355993
130,63.67866645,63.79631434,63.80666289,1.136603181,11.2933081
134,74.87188128,73.50304732,73.5113713,0.974298817,11.03750409
135,80.86437438,79.5739831,79.61878808,0.989655434,13.3827774
136,86.12915526,84.3278751,84.41634326,1.146812112,14.29022089
137,76.99056373,76.95675291,76.95677634,3.156956306,6.190236949
141,84.46272226,83.87795694,83.91924773,1.015695459,13.10179714
142,64.47763032,64.51961885,64.52294043,1.195472387,9.947405713
143,52.97991294,53.01567997,53.01576492,1.870291644,7.158086794
146,103.0755839,87.17530127,87.4086751,1.147126601,16.49403718
147,81.11116687,78.62730041,78.68888302,1.04144432,13.90149578
148,57.34128338,57.14192755,57.15651832,1.123591549,11.91941138
149,40.26892099,40.22886126,40.2529909,1.003490311,13.47167515
150,33.61543327,33.58511359,33.62305843,1,14.73441109
151,69.27847035,69.27913253,69.2934468,1,11.78571429
152,76.58453686,76.51898921,76.5744174,1,13.82947977
153,53.86637532,53.85475993,53.85475993,0.994800131,4.03515603
155,38.35593764,38.35820991,38.35959377,0.999999999,9.775280899
156,57.54374823,57.37300318,57.40987324,1.005078272,13.59501837
157,60.63486212,60.52189554,60.57124425,1.076789878,13.91474886
158,38.52243487,38.41817725,38.51586871,1.000000034,16.73076923
159,33.46388011,33.41556473,33.46751053,1.000000002,15.46042
160,99.28463863,97.65742784,99.28350707,1,24.3202033
161,76.40522145,76.37180255,76.40690788,1,13.01155676
162,69.91746332,69.89506724,69.91204457,0.99999414,12.01474211
163,72.38478611,72.38925828,72.39852807,1.000020502,11.15672835
164,65.67304508,65.71335313,65.71427692,1.131750378,8.852604661
165,71.94497052,71.96105993,71.96847375,1.073543168,10.80894246
166,79.68782112,78.12988122,78.17047492,1.144321024,12.99070235
167,79.7604231,77.00096064,77.04775952,1.320398569,13.01374785
168,58.64778706,55.37479284,55.40148073,1.199119687,12.78821507
169,37.26726618,37.11652662,37.26311363,1,18.05660377
172,108.606208,105.4417722,108.6188915,1,28.31360947
173,105.3312665,103.0837891,105.3357533,1,26.00543478
174,105.3821991,102.4125169,105.3843259,1,28.02342608
175,85.03412351,83.85852407,85.03684175,1,23.36996336
176,68.21630148,67.80023605,67.84637143,0.992189972,13.7257372
177,72.6648428,72.41290753,72.41785728,0.992424582,10.4348535
178,80.88799702,80.93722515,80.94053361,1.139018593,9.770251649
179,82.25759549,82.30315798,82.34715025,1.203659629,12.9533568
180,81.38916074,81.396879,81.45216859,1.238677384,13.31705915
181,90.04261149,89.477382,89.59080719,1.290869142,14.43618581
187,98.51338014,97.53535987,98.5228016,1,21.72531215
188,97.68613517,96.54780784,97.69915368,1,22.51764706
189,106.374032,102.6263174,106.4023335,1,29.95305165
190,91.04891542,87.51886163,91.05018272,1,30.77170418
191,66.49869973,66.31417322,66.5028482,0.999969784,17.05046119
192,78.97837681,78.39776604,78.49995708,0.992208879,15.06888094
193,93.60167556,92.43389555,92.53593079,1.121400746,14.44136564
194,96.77733341,94.68001692,94.70877806,1.537172949,11.72411466
195,91.85771796,89.25040029,89.27907869,1.561031536,11.78041188
196,105.0402047,97.87033872,98.36460727,1.288828632,18.02929986
197,99.65283151,91.36393991,91.80029207,1.170633965,18.16161067
201,32.41632078,32.34537103,32.41547838,1.000000007,16.2962963
203,97.08796376,96.15381038,97.08702945,1,21.52980877
204,96.98566387,95.61118906,96.99071747,1,23.51351351
205,96.60568263,89.80609107,96.6414201,1,37.75147929
206,97.54098651,92.47611078,97.54518351,1,33.81625442
207,68.57865922,68.50999903,68.57898927,1,14.48902346
208,77.67131495,77.07251112,77.21999327,0.993060187,15.99040779
209,87.15079357,86.55256119,86.67304753,1.024470987,15.14572837
210,87.01304914,86.4693186,87.02002267,1,19.75232198
211,91.72858647,90.84060274,91.73631976,1,21.6027088
212,90.34412839,89.56415529,90.34230596,1,21.03296703
213,87.8780301,87.75241993,87.88461816,1,15.38585209
