OID_,FID_grids,treecover2,x,y,ID,ORIG_FID,climate,biomes1,biomes2,NEP,CC
0,71,1,73.5000000,39.5000000,1,0,2,7,2,400.0000000,0.1500000
1,72,1,73.5000000,40.5000000,2,1,16,7,2,400.0000000,0.1500000
2,73,1,73.5000000,41.5000000,3,2,6,7,2,400.0000000,0.1500000
3,103,1,74.5000000,39.5000000,4,3,1,7,2,400.0000000,0.1500000
4,104,1,74.5000000,40.5000000,5,4,1,7,2,400.0000000,0.1500000
5,105,1,74.5000000,41.5000000,6,5,5,11,2,133.0000000,0.1500000
6,135,1,75.5000000,37.5000000,7,6,1,7,2,400.0000000,0.1500000
7,136,1,75.5000000,38.5000000,8,7,19,7,2,400.0000000,0.1500000
9,138,1,75.5000000,40.5000000,10,9,5,7,2,400.0000000,0.1500000
10,139,1,75.5000000,41.5000000,11,10,8,11,2,133.0000000,0.1500000
12,173,1,76.5000000,37.5000000,13,12,19,7,2,400.0000000,0.1500000
13,174,1,76.5000000,38.5000000,14,13,19,7,2,400.0000000,0.1500000
16,177,1,76.5000000,41.5000000,17,16,8,11,2,133.0000000,0.1500000
17,207,1,77.5000000,41.5000000,18,17,8,7,2,400.0000000,0.1500000
18,235,1,78.5000000,31.5000000,19,18,11,7,2,400.0000000,0.1500000
19,236,1,78.5000000,32.5000000,20,19,1,7,2,400.0000000,0.1500000
23,267,1,79.5000000,42.5000000,24,23,5,7,2,400.0000000,0.1500000
24,268,1,79.5000000,43.5000000,25,24,8,11,2,133.0000000,0.1500000
25,294,1,80.5000000,30.5000000,26,25,1,7,2,400.0000000,0.1500000
27,296,1,80.5000000,42.5000000,28,27,1,7,2,400.0000000,0.1500000
28,297,1,80.5000000,43.5000000,29,28,8,7,2,400.0000000,0.1500000
29,298,1,80.5000000,44.5000000,30,29,1,11,2,133.0000000,0.1500000
30,299,1,80.5000000,45.5000000,31,30,13,7,2,400.0000000,0.1500000
31,323,1,81.5000000,30.5000000,32,31,1,7,2,400.0000000,0.1500000
33,325,1,81.5000000,42.5000000,34,33,1,7,2,400.0000000,0.1500000
34,326,1,81.5000000,43.5000000,35,34,13,7,2,400.0000000,0.1500000
35,327,1,81.5000000,44.5000000,36,35,1,7,2,400.0000000,0.1500000
36,328,1,81.5000000,45.5000000,37,36,5,7,2,400.0000000,0.1500000
37,351,1,82.5000000,29.5000000,38,37,1,7,2,400.0000000,0.1500000
38,352,1,82.5000000,42.5000000,39,38,8,7,2,400.0000000,0.1500000
39,353,1,82.5000000,43.5000000,40,39,19,7,2,400.0000000,0.1500000
40,354,1,82.5000000,44.5000000,41,40,8,7,2,400.0000000,0.1500000
41,355,1,82.5000000,45.5000000,42,41,19,11,2,133.0000000,0.1500000
42,356,1,82.5000000,46.5000000,43,42,23,11,2,133.0000000,0.1500000
43,377,1,83.5000000,29.5000000,45,44,1,7,2,400.0000000,0.1500000
44,378,1,83.5000000,42.5000000,46,45,1,7,2,400.0000000,0.1500000
45,379,1,83.5000000,43.5000000,47,46,19,7,2,400.0000000,0.1500000
47,381,1,83.5000000,45.5000000,49,48,8,11,2,133.0000000,0.1500000
48,382,1,83.5000000,46.5000000,50,49,8,11,2,133.0000000,0.1500000
50,402,1,84.5000000,42.5000000,55,54,8,7,2,400.0000000,0.1500000
53,405,1,84.5000000,46.5000000,58,57,5,11,2,133.0000000,0.1500000
54,423,1,85.5000000,28.5000000,62,61,2,7,2,400.0000000,0.1500000
56,425,1,85.5000000,43.5000000,64,63,1,7,2,400.0000000,0.1500000
59,428,1,85.5000000,46.5000000,67,66,19,11,2,133.0000000,0.1500000
61,446,1,86.5000000,28.5000000,72,71,1,7,2,400.0000000,0.1500000
64,449,1,86.5000000,43.5000000,75,74,5,7,2,400.0000000,0.1500000
68,467,1,87.5000000,28.5000000,82,81,14,7,2,400.0000000,0.1500000
70,469,1,87.5000000,43.5000000,84,83,8,7,2,400.0000000,0.1500000
74,487,1,88.5000000,43.5000000,91,90,19,7,2,400.0000000,0.1500000
78,505,1,89.5000000,28.5000000,97,96,1,7,2,400.0000000,0.1500000
79,506,1,89.5000000,29.5000000,98,97,1,7,2,400.0000000,0.1500000
80,507,1,89.5000000,43.5000000,99,98,1,7,2,400.0000000,0.1500000
83,524,1,90.5000000,28.5000000,104,103,1,7,2,400.0000000,0.1500000
84,525,1,90.5000000,29.5000000,105,104,1,7,2,400.0000000,0.1500000
85,526,1,90.5000000,43.5000000,106,105,8,7,2,400.0000000,0.1500000
89,543,1,91.5000000,28.5000000,111,110,1,7,2,400.0000000,0.1500000
90,544,1,91.5000000,29.5000000,112,111,14,7,2,400.0000000,0.1500000
91,545,1,91.5000000,30.5000000,113,112,14,7,2,400.0000000,0.1500000
92,546,1,91.5000000,31.5000000,114,113,14,7,2,400.0000000,0.1500000
95,561,1,92.5000000,26.5000000,117,116,30,15,-9999,403.0000000,0.1500000
97,563,1,92.5000000,28.5000000,119,118,8,7,2,400.0000000,0.1500000
98,564,1,92.5000000,29.5000000,120,119,1,7,2,400.0000000,0.1500000
99,565,1,92.5000000,30.5000000,121,120,1,7,2,400.0000000,0.1500000
100,566,1,92.5000000,31.5000000,122,121,14,7,2,400.0000000,0.1500000
101,567,1,92.5000000,32.5000000,123,122,1,7,2,400.0000000,0.1500000
102,568,1,92.5000000,43.5000000,124,123,8,7,2,400.0000000,0.1500000
103,585,1,93.5000000,26.5000000,125,124,24,15,-9999,403.0000000,0.1500000
106,588,1,93.5000000,29.5000000,128,127,14,7,2,400.0000000,0.1500000
107,589,1,93.5000000,30.5000000,129,128,1,7,2,400.0000000,0.1500000
109,591,1,93.5000000,32.5000000,131,130,1,7,2,400.0000000,0.1500000
111,612,1,94.5000000,27.5000000,133,132,24,15,-9999,403.0000000,0.1500000
115,616,1,94.5000000,31.5000000,137,136,14,7,2,400.0000000,0.1500000
116,617,1,94.5000000,32.5000000,138,137,1,7,2,400.0000000,0.1500000
117,636,1,95.5000000,27.5000000,139,138,24,15,-9999,403.0000000,0.1500000
122,641,1,95.5000000,32.5000000,144,143,14,7,2,400.0000000,0.1500000
124,660,1,96.5000000,28.5000000,146,145,1,7,2,400.0000000,0.1500000
126,662,1,96.5000000,30.5000000,148,147,14,7,2,400.0000000,0.1500000
127,663,1,96.5000000,31.5000000,149,148,1,7,2,400.0000000,0.1500000
128,664,1,96.5000000,32.5000000,150,149,1,7,2,400.0000000,0.1500000
