OID_	year_of_di	BA	Grids	agb	CCI_10	treecover_	Afforest	Deforest	2020pnf	Disturb
1058532	2.003	0.988477165	730	50.8	44	46	-9999	0	2	119
1058533	2.003	0.991546876	730	132.2	35	55	-9999	0	2	119
1058534	2.003	1	730	55.2	48	48	-9999	0	2	119
1058535	2.003	0.97695433	730	49.7	41	32	-9999	0	2	119
1058536	2.003	1	730	58.2	51	55	-9999	0	2	119
1058537	2.003	1	730	60	52	56	-9999	0	2	119
1058538	2.003	1	730	58.6	39	60	-9999	0	2	119
1058539	2.003	0.970186831	730	60.5	40	59	-9999	0	2	119
1058540	2.0190001	1	730	36.7	39	71	-9999	0	2	135
1058579	2.007	0.970514445	730	33.4	36	47	-9999	0	2	123
1058580	2.007	0.967881278	730	40.6	46	58	-9999	0	2	123
1058794	1.9859999	0.969820924	730	137.2	36	50	-9999	0	2	102
1058795	1.9859999	1	730	156.5	56	49	-9999	0	2	102
1058796	1.9859999	1	730	171.1	71	43	-9999	0	2	102
1058797	1.9859999	0.961836574	730	93.3	106	43	-9999	0	2	102
1058798	1.9859999	1	730	89.9	80	27	-9999	0	2	102
1058799	1.9859999	0.984623722	730	132.9	60	53	-9999	0	2	102
1058800	1.9859999	0.977637435	730	23.7	73	67	-9999	0	2	102
1058801	1.9859999	1	730	68.1	68	58	-9999	0	2	102
1058802	1.9859999	0.978986438	730	56.5	96	64	-9999	0	2	102
1058803	1.9859999	1	730	90.9	82	63	-9999	0	2	102
1058804	1.9859999	1	730	68.1	62	55	-9999	0	2	102
1058805	1.9859999	1	730	41.5	102	63	-9999	0	2	102
1058806	1.9859999	1	730	37.2	101	60	-9999	0	2	102
1058807	1.9960001	1	730	48.6	51	49	-9999	0	2	112
1058808	1.9960001	1	730	55.4	53	50	-9999	0	2	112
1058809	1.9960001	1	730	44.8	44	56	-9999	0	2	112
1058810	1.9960001	0.994651373	730	51.8	55	59	-9999	0	2	112
1058811	2.0150001	1	730	1.6	-9999	54	-9999	0	2	131
1058812	2.0150001	1	730	3	-9999	56	-9999	2015	2	131
1058813	2.0150001	0.989996958	730	10.1	-9999	37	-9999	0	2	131
1058817	2.017	1	730	10.3	8	56	-9999	0	2	133
1058818	2.017	0.997738701	730	1.8	-9999	47	-9999	0	2	133
1058819	2.017	1	730	10.8	-9999	47	-9999	0	2	133
1065726	1.9859999	0.960502638	730	80.8	66	72	-9999	0	2	102
1065727	1.9859999	1	730	70.5	77	70	-9999	0	2	102
1065728	1.9859999	1	730	60.9	79	64	-9999	0	2	102
1065729	1.9859999	0.993446531	730	61	80	63	-9999	0	2	102
1065730	1.9859999	0.967741866	730	52.9	79	60	-9999	0	2	102
1065731	1.9859999	1	730	59.1	92	62	-9999	0	2	102
1065732	1.9859999	0.99743834	730	75.1	66	64	-9999	0	2	102
1065733	1.9859999	1	730	90.1	77	72	-9999	0	2	102
1065734	1.9859999	0.997501487	730	118.5	117	72	-9999	0	2	102
1065735	1.9859999	0.999824738	730	84.7	79	60	-9999	0	2	102
1065736	1.9859999	0.993803167	730	70.9	89	57	-9999	0	2	102
1065737	1.9859999	1	730	77.3	86	78	-9999	0	2	102
1065738	1.9859999	1	730	112.5	86	60	-9999	0	2	102
1065739	1.9859999	1	730	72.2	86	78	-9999	0	2	102
1065740	1.9859999	1	730	118.2	71	78	-9999	0	2	102
1065741	1.9859999	0.997263078	730	143	86	62	-9999	0	2	102
1065742	1.9859999	0.991619129	730	91.5	91	71	-9999	0	2	102
1065743	1.9859999	1	730	93.4	90	78	-9999	0	2	102
1065744	1.9859999	1	730	71.7	84	78	-9999	0	2	102
1065745	1.9859999	1	730	59	68	79	-9999	0	2	102
1065746	1.9859999	1	730	139.5	81	59	-9999	0	2	102
1065747	1.9859999	1	730	88.1	91	68	-9999	0	2	102
1065748	1.9859999	0.985704112	730	109.3	85	71	-9999	0	2	102
1065749	1.9859999	1	730	83.9	97	63	-9999	0	2	102
1065750	1.9859999	0.996566392	730	64.4	98	68	-9999	0	2	102
1065751	1.9859999	0.996999025	730	111.9	100	64	-9999	0	2	102
1065752	1.9859999	0.979815291	730	162	70	68	-9999	0	2	102
1065753	1.9859999	0.993461165	730	106.5	115	70	-9999	0	2	102
1065754	1.9859999	1	730	82.7	71	75	-9999	0	2	102
1065755	1.9859999	1	730	108.2	114	72	-9999	0	2	102
1065756	1.9859999	1	730	105.3	76	72	-9999	0	2	102
1065757	1.9859999	1	730	129.2	75	72	-9999	0	2	102
1065758	1.9859999	1	730	102.4	71	72	-9999	0	2	102
1065759	1.9859999	1	730	115.2	107	82	-9999	0	2	102
1065760	1.9859999	1	730	93.2	115	60	-9999	0	2	102
1065761	1.9859999	1	730	114.1	90	56	-9999	0	2	102
1065762	1.9859999	1	730	103	95	58	-9999	0	2	102
1065763	1.9859999	1	730	67.3	145	37	-9999	0	2	102
1065764	1.9859999	1	730	103.1	141	37	-9999	0	2	102
1065765	1.9859999	1	730	81.9	80	62	-9999	0	2	102
1065766	1.9859999	1	730	102.4	114	60	-9999	0	2	102
1065767	1.9859999	1	730	84.6	118	62	-9999	0	2	102
1065768	1.9859999	1	730	99.5	99	60	-9999	0	2	102
1065769	1.9859999	1	730	95.7	139	33	-9999	0	2	102
1065770	1.9859999	1	730	82.2	136	22	-9999	0	2	102
1065771	1.9859999	1	730	70.4	130	22	-9999	0	2	102
1065772	1.9859999	1	730	101.5	131	33	-9999	0	2	102
1065773	1.9859999	1	730	85.6	39	59	-9999	0	2	102
1065774	1.9859999	0.980107215	730	81.1	48	64	-9999	0	2	102
1065775	1.9859999	0.988547159	730	85.9	54	66	-9999	0	2	102
1065776	1.9859999	0.977222468	730	78.8	56	62	-9999	0	2	102
1065777	1.9859999	0.955017277	730	68.7	61	56	-9999	0	2	102
1065778	1.9859999	0.997697275	730	122.8	88	58	-9999	0	2	102
1065779	1.9859999	0.977457139	730	122.1	88	60	-9999	0	2	102
1065780	1.9859999	1	730	115	76	58	-9999	0	2	102
1065781	1.9859999	0.955390711	730	78.2	82	58	-9999	0	2	102
1065782	1.9859999	0.998580892	730	94	86	63	-9999	0	2	102
1065783	1.9859999	0.969836895	730	101	66	55	-9999	0	2	102
1065784	1.9859999	0.979630099	730	97.4	82	51	-9999	0	2	102
1065785	1.9859999	1	730	97.5	84	43	-9999	0	2	102
1065786	1.9859999	1	730	92.1	83	68	-9999	0	2	102
1065787	1.9859999	1	730	114.6	80	67	-9999	0	2	102
1065788	1.9859999	1	730	100.5	80	77	-9999	0	2	102
1065789	1.9859999	1	730	115.3	72	66	-9999	0	2	102
1065790	1.9859999	1	730	135.8	71	67	-9999	0	2	102
1065791	1.9859999	1	730	139.2	85	77	-9999	0	2	102
1065792	1.9859999	1	730	264.8	76	62	-9999	0	2	102
1065793	1.9859999	1	730	199.8	74	67	-9999	0	2	102
1065794	1.9859999	0.997635931	730	85.7	83	72	-9999	0	2	102
1065795	1.9859999	1	730	96.9	95	76	-9999	0	2	102
1065796	1.9859999	1	730	71.5	118	55	-9999	0	2	102
1065797	1.9859999	1	730	54.2	118	37	-9999	0	2	102
1065798	1.9859999	0.997734284	730	80.3	110	25	-9999	0	2	102
1065799	1.9859999	1	730	78.7	121	37	-9999	0	2	102
1065800	1.9859999	1	730	74.8	121	37	-9999	0	2	102
1065801	1.9859999	0.985538723	730	78.1	90	27	-9999	0	2	102
1065802	1.9859999	1	730	63.9	112	37	-9999	0	2	102
1065803	1.9859999	1	730	65	110	33	-9999	0	2	102
