OID_,VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,PCT95,PCT100
0,1,82328.000000000000000,0.005979262945380,1,1833,1832,283.140741909999974,238.698133891999987,23310411.000000000000000,1127,128,687,224,541,803,1833
1,2,961130.000000000000000,0.069804307097200,1,1898,1897,286.628879547999986,254.405370749000014,275487615.000000000000000,1581,94,1418,198,630,829,1898
2,3,1363951.000000000000000,0.099060121387800,1,2648,2647,301.221991845999980,286.112956435999990,410852037.000000000000000,1677,118,1382,169,701,929,2648
3,4,37.000000000000000,0.000002687211264,1,361,360,127.081081080999994,102.437687948999994,4702.000000000000000,23,22,1,119,289,361,361
4,5,137653.000000000000000,0.009997370059040,1,2049,2048,248.527202458000005,263.090558611000006,34210515.000000000000000,1390,116,683,150,560,826,2049
5,6,223786.000000000000000,0.016252980000700,1,2707,2706,367.280714611000008,361.762798597000028,82192282.000000000000000,1698,116,1349,205,906,1171,2707
6,7,636.000000000000000,0.000046190982816,2,1331,1329,258.341194969000014,174.879999110999989,164305.000000000000000,238,335,2,216,480,525,1331
7,8,3683.000000000000000,0.000267486461809,1,1332,1331,203.689655171999988,185.730862739000003,750189.000000000000000,509,100,106,136,478,570,1332
8,9,624.000000000000000,0.000045319454838,1,727,726,177.270833333000013,154.043383984000002,110617.000000000000000,224,40,2,115,430,522,727
9,10,2412.000000000000000,0.000175177123509,2,1475,1473,200.228026534000008,196.718528225000000,482950.000000000000000,384,59,8,140,391,438,1475
10,11,113587.000000000000000,0.008249520699850,1,1959,1958,454.240150721000020,406.261593783000023,51595776.000000000000000,1601,120,755,344,1145,1315,1959
11,12,1848.000000000000000,0.000134215308559,1,836,835,187.113095238000000,115.205531944000001,345785.000000000000000,340,211,1,170,347,403,836
12,13,5411.000000000000000,0.000392986490592,1,1561,1560,213.620033266000007,160.526918811000002,1155898.000000000000000,581,141,8,164,434,528,1561
13,14,491.000000000000000,0.000035660019752,1,549,548,107.655804481000004,63.998517532400001,52859.000000000000000,167,172,3,100,177,213,549
14,15,121.000000000000000,0.000008787907108,4,202,198,83.140495867799999,52.562486353399997,10060.000000000000000,57,104,4,71,174,174,202
15,16,199.000000000000000,0.000014452838963,6,280,274,105.844221106000006,61.303109303900001,21063.000000000000000,92,154,33,105,190,209,280
16,17,224584.000000000000000,0.016310936611200,1,2665,2664,581.618761800000016,465.271891840000023,130622268.000000000000000,1807,124,1687,472,1284,1461,2665
17,18,2847.000000000000000,0.000206770012699,5,1635,1630,467.300316122000027,357.754982365999979,1330404.000000000000000,475,87,5,378,1028,1146,1635
18,19,867093.000000000000000,0.062974650727600,1,4550,4549,1321.058509290000075,693.843909658000030,1145480586.000000000000000,3259,2431,2863,1252,2370,2481,4550
19,20,292.000000000000000,0.000021207180790,1,459,458,144.119863014000003,86.127191798599995,42083.000000000000000,157,64,1,130,275,316,459
20,21,1068.000000000000000,0.000077565990012,2,634,632,100.448501872999998,60.852096800500000,107279.000000000000000,204,58,4,96,162,189,634
21,22,3606504.000000000000000,0.261930761461000,1,4607,4606,1321.697167399999898,721.442011586000035,4766706121.000000000000000,3830,2435,3507,1198,2423,2539,4607
22,23,3051.000000000000000,0.000221585988319,2,1128,1126,163.268108817000012,135.757593227999990,498131.000000000000000,390,119,2,132,337,487,1128
23,24,659715.000000000000000,0.047913339981700,1,2763,2762,537.916292642000030,485.473463776000017,354871447.000000000000000,1946,57,1894,384,1269,1474,2763
